Year,School_Id,Class,Drops_Male,Drops_Female
2014.0,100020.0,2.0,2.0,1.0
2014.0,100020.0,4.0,2.0,1.0
2014.0,100020.0,5.0,1.0,0.0
2014.0,100020.0,6.0,1.0,1.0
2014.0,100020.0,7.0,3.0,0.0
2014.0,100020.0,8.0,4.0,1.0
2014.0,100040.0,8.0,3.0,1.0
2014.0,100070.0,1.0,3.0,1.0
2014.0,100070.0,2.0,1.0,0.0
2014.0,100070.0,4.0,3.0,0.0
2014.0,100070.0,6.0,0.0,2.0
2014.0,100110.0,1.0,1.0,1.0
2014.0,100110.0,2.0,1.0,0.0
2014.0,100110.0,3.0,0.0,1.0
2014.0,100110.0,4.0,0.0,2.0
2014.0,100110.0,6.0,0.0,1.0
2014.0,100190.0,8.0,1.0,2.0
2014.0,100190.0,9.0,0.0,2.0
2014.0,100190.0,10.0,1.0,3.0
2014.0,100190.0,11.0,0.0,1.0
2014.0,100200.0,9.0,1.0,0.0
2014.0,101250.0,1.0,0.0,2.0
2014.0,101250.0,5.0,1.0,0.0
2014.0,101250.0,7.0,2.0,0.0
2014.0,101250.0,8.0,2.0,0.0
2014.0,101250.0,11.0,0.0,1.0
2014.0,101290.0,1.0,1.0,0.0
2014.0,101290.0,2.0,2.0,0.0
2014.0,101290.0,5.0,0.0,1.0
2014.0,101290.0,7.0,0.0,2.0
2014.0,101301.0,6.0,0.0,1.0
2014.0,101301.0,7.0,0.0,1.0
2014.0,101301.0,8.0,1.0,2.0
2014.0,101301.0,10.0,0.0,1.0
2014.0,101301.0,11.0,2.0,0.0
2014.0,101580.0,1.0,0.0,2.0
2014.0,101580.0,2.0,2.0,0.0
2014.0,101580.0,5.0,2.0,3.0
2014.0,101580.0,7.0,1.0,0.0
2014.0,101700.0,3.0,1.0,0.0
2014.0,101700.0,4.0,0.0,2.0
2014.0,101700.0,5.0,0.0,1.0
2014.0,101700.0,6.0,0.0,2.0
2014.0,101700.0,7.0,0.0,1.0
2014.0,101700.0,8.0,4.0,5.0
2014.0,101870.0,8.0,1.0,1.0
2014.0,101870.0,9.0,1.0,2.0
2014.0,101880.0,1.0,1.0,0.0
2014.0,101880.0,5.0,0.0,1.0
2014.0,102002.0,8.0,1.0,0.0
2014.0,102002.0,9.0,0.0,3.0
2014.0,102002.0,10.0,0.0,2.0
2014.0,102002.0,11.0,1.0,1.0
2014.0,102003.0,8.0,0.0,1.0
2014.0,102060.0,2.0,0.0,1.0
2014.0,102060.0,6.0,0.0,1.0
2014.0,102060.0,8.0,0.0,1.0
2014.0,102060.0,9.0,1.0,1.0
2014.0,102060.0,11.0,1.0,0.0
2014.0,102606.0,1.0,0.0,4.0
2014.0,102606.0,2.0,1.0,1.0
2014.0,102606.0,4.0,0.0,1.0
2014.0,102606.0,5.0,2.0,1.0
2014.0,102606.0,6.0,2.0,3.0
